URL,Query,Bands
https://www.ryanmckasson.com/bands,Ryan McKasson,Kalos|Ryan McKasson and Colin Cotter|Syncopaths|MAC|Ensemble Galilei|The McKassons
https://fox40.com/studio-40/kerry-traditional-band-ryan-mckasson/,Ryan McKasson,Syncopaths|The McKassons|Ensemble Galilei
https://kalosband.com/about,Ryan McKasson,Kalos|The Syncopaths|MAC|Ensemble Galilei
https://kalosband.com/about,Eric MacDonald,The Outside Track|Cantrip|Daymark
https://kalosband.com/about,Jeremiah McLane,The Clayfoot Strutters|Nightingale|Bob & the Trubadors|Le Bon Vent
https://tunesbymac.com/bio,Ryan McKasson,MAC
https://tunesbymac.com/bio,Elias Alexander,MAC
https://tunesbymac.com/bio,Colin Cotter,MAC
https://www.ryanmckasson.com/bio/,Ryan McKasson,The McKassons|The Syncopaths|Ensemble Galilei|MAC|Kalos
https://www.passim.org/artists/ryan-mckasson/,Ryan McKasson,Ensemble Galilei
https://en.wikipedia.org/wiki/Great_Bear_%28band%29,Andrew VanNorstrand,Andrew and Noah Band|Great Bear Trio|Great Bear|Wake Up Robin
https://en.wikipedia.org/wiki/Great_Bear_%28band%29,Noah VanNorstrand,Andrew and Noah Band|Great Bear Trio|Great Bear|Wake Up Robin
https://nysmusic.com/2019/11/12/andrew-vannorstrand-shares-video-for-boy-with-the-gray-eyes-performances-in-syracuse-and-auburn-this-week/,Andrew VanNorstrand,Great Bear|The Faux Paws|Wake Up Robin
https://nysmusic.com/2019/11/12/andrew-vannorstrand-shares-video-for-boy-with-the-gray-eyes-performances-in-syracuse-and-auburn-this-week/,Noah VanNorstrand,Great Bear|The Faux Paws|Wake Up Robin
http://www.jaredingersol.com/andrew-noah-vannorstrand/,Andrew VanNorstrand,
http://www.jaredingersol.com/andrew-noah-vannorstrand/,Noah VanNorstrand,
https://www.novatriomusic.com/about,Everest Witman,Nova
https://www.novatriomusic.com/about,Kathleen Fownes,Nova|Light Reaction
https://www.novatriomusic.com/about,Guillaume Sparrow-Pepin,Nova
https://rootsmusic.ca/2023/12/16/in-praise-of-montreals-mixing-mastering-magician-everest-witman/,Everest Witman,Nova|Kavaz|Groovatron
https://everestwitman.bandcamp.com/track/headlifter,Everest Witman,Everest Witman & McKinley James
https://everestwitman.bandcamp.com/track/headlifter,McKinley James,Everest Witman & McKinley James
https://www.katiemcnally.com/,Katie McNally,
https://www.katiemcnally.com/about,Katie McNally,Fàrsan|Pine Tree Flyers|Katie McNally Trio|Childsplay
https://katiemcnallyfiddle.bandcamp.com/album/now-more-than-ever,Katie McNally,Katie McNally Trio
https://www.farsanband.com/about/katie-mcnally/,Katie McNally,Fàrsan|Childsplay|Long Time Courting
https://www.farsanband.com/about/elias-alexander/,Elias Alexander,Fàrsan|Bywater Band|Soulsha|MAC
https://www.farsanband.com/about/mairi-britton/,Màiri Britton,Fàrsan|Huradal
https://www.farsanband.com/about/neil-pearlman/,Neil Pearlman,Fàrsan|Highland Soles|Alba's Edge|Soulsha
